--2021-04-24 18:19:29--  https://releases.ubuntu.com/20.04.2.0/ubuntu-20.04.2.0-desktop-amd64.iso
Resolving releases.ubuntu.com (releases.ubuntu.com)... 2001:67c:1562::28, 2001:67c:1360:8001::34, 2001:67c:1360:8001::33, ...
Connecting to releases.ubuntu.com (releases.ubuntu.com)|2001:67c:1562::28|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 2877227008 (2,7G) [application/x-iso9660-image]
Saving to: ‘/dev/null’

792576K ........ ........ ........ ........ ........ ........ 28% 9,91M 7m53s
795648K ........ ........ ........ ........ ........ ........ 28% 4,85M 7m52s
798720K ........ ........ ........ ........ ........ ........ 28% 3,98M 7m51s
801792K ........ ........ ........ ........ ........ ........ 28% 5,19M 7m50s
804864K ........ ........ ........ ........ ........ ........ 28% 4,10M 7m50s
807936K ........ ........ ........ ........ ........ ........ 28% 6,22M 7m48s
811008K ........ ........ ........ ........ ........ ........ 28% 6,68M 7m47s
814080K ........ ........ ........ ........ ........ ........ 29% 2,29M 7m48s
817152K ........ ........ ........ ........ ........ ........ 29% 2,87M 7m48s
820224K ........ ........ ........ ........ ........ ........ 29% 11,6M 7m46s
823296K ........ ........ ........ ........ ........ ........ 29% 3,62M 7m45s
826368K ........ ........ ........ ........ ........ ........ 29% 3,34M 7m45s
829440K ........ ........ ........ ........ ........ ........ 29% 7,50M 7m44s
832512K ........ ........ ........ ........ ........ ........ 29% 3,68M 7m43s
835584K ........ ........ ........ ........ ........ ........ 29% 5,26M 7m42s
838656K ........ ........ ........ ........ ........ ........ 29% 5,55M 7m41s
841728K ........ ........ ........ ........ ........ ........ 30% 4,45M 7m40s
844800K ........ ........ ........ ........ ........ ........ 30% 3,56M 7m40s
847872K ........ ........ ........ ........ ........ ........ 30% 6,27M 7m38s
850944K ........ ........ ........ ........ ........ ........ 30% 6,42M 7m37s
854016K ........ ........ ........ ........ ........ ........ 30% 5,60M 7m36s
857088K ........ ........ ........ ........ ........ ........ 30% 3,86M 7m35s
860160K ........ ........ ........ ........ ........ ........ 30% 6,39M 7m34s
863232K ........ ........ ........ ........ ........ ........ 30% 2,40M 7m35s
866304K ........ ........ ........ ........ ........ ........ 30% 6,21M 7m33s
869376K ........ ........ ........ ........ ........ ........ 31% 5,03M 7m32s
872448K ........ ........ ........ ........ ........ ........ 31% 2,86M 7m32s
875520K ........ ........ ........ ........ ........ ........ 31% 13,7M 7m31s
878592K ........ ........ ........ ........ ........ ........ 31% 3,45M 7m30s
881664K ........ ........ ........ ........ ........ ........ 31% 5,21M 7m29s
884736K ........ ........ ........ ........ ........ ........ 31% 3,49M 7m29s
887808K ........ ........ ........ ........ ........ ........ 31% 5,07M 7m28s
890880K ........ ........ ........ ........ ........ ........ 31% 3,35M 7m27s
893952K ........ ........ ........ ........ ........ ........ 31% 10,7M 7m26s
897024K ........ ........ ........ ........ ........ ........ 32% 5,36M 7m25s
900096K ........ ........ ........ ........ ........ ........ 32% 3,75M 7m24s
903168K ........ ........ ........ ........ ........ ........ 32% 3,22M 7m24s
906240K ........ ........ ........ ........ ........ ........ 32% 8,62M 7m22s
909312K ........ ........ ........ ........ ........ ........ 32% 3,73M 7m22s
912384K ........ ........ ........ ........ ........ ........ 32% 2,11M 7m23s
915456K ........ ........ ........ ........ ........ ........ 32% 4,75M 7m22s
918528K ........ ........ ........ ........ ........ ........ 32% 5,70M 7m21s
921600K ........ ........ ........ ........ ........ ........ 32% 3,06M 7m20s
