--2021-04-24 18:28:22--  https://releases.ubuntu.com/20.04.2.0/ubuntu-20.04.2.0-desktop-amd64.iso
Resolving releases.ubuntu.com (releases.ubuntu.com)... 91.189.91.123, 91.189.88.248, 91.189.88.247, ...
Connecting to releases.ubuntu.com (releases.ubuntu.com)|91.189.91.123|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 2877227008 (2,7G) [application/x-iso9660-image]
Saving to: ‘/dev/null’

958464K ........ ........ ........ ........ ........ ........ 34% 5,65M 6m1s
961536K ........ ........ ........ ........ ........ ........ 34% 4,58M 6m0s
964608K ........ ........ ........ ........ ........ ........ 34% 5,05M 6m0s
967680K ........ ........ ........ ........ ........ ........ 34% 4,21M 5m59s
970752K ........ ........ ........ ........ ........ ........ 34% 7,39M 5m58s
973824K ........ ........ ........ ........ ........ ........ 34% 3,36M 5m58s
976896K ........ ........ ........ ........ ........ ........ 34% 10,6M 5m57s
979968K ........ ........ ........ ........ ........ ........ 34% 5,68M 5m56s
983040K ........ ........ ........ ........ ........ ........ 35% 2,96M 5m57s
986112K ........ ........ ........ ........ ........ ........ 35% 3,03M 5m57s
989184K ........ ........ ........ ........ ........ ........ 35% 9,62M 5m56s
992256K ........ ........ ........ ........ ........ ........ 35% 4,09M 5m55s
995328K ........ ........ ........ ........ ........ ........ 35% 2,92M 5m55s
998400K ........ ........ ........ ........ ........ ........ 35% 12,4M 5m54s
1001472K ........ ........ ........ ........ ........ ........ 35% 3,78M 5m54s
1004544K ........ ........ ........ ........ ........ ........ 35% 6,87M 5m53s
1007616K ........ ........ ........ ........ ........ ........ 35% 2,88M 5m53s
1010688K ........ ........ ........ ........ ........ ........ 36% 15,9M 5m52s
1013760K ........ ........ ........ ........ ........ ........ 36% 5,68M 5m51s
1016832K ........ ........ ........ ........ ........ ........ 36% 3,02M 5m51s
1019904K ........ ........ ........ ........ ........ ........ 36% 5,43M 5m51s
1022976K ........ ........ ........ ........ ........ ........ 36% 7,81M 5m50s
1026048K ........ ........ ........ ........ ........ ........ 36% 6,40M 5m49s
1029120K ........ ........ ........ ........ ........ ........ 36% 3,50M 5m49s
1032192K ........ ........ ........ ........ ........ ........ 36% 8,55M 5m48s
1035264K ........ ........ ........ ........ ........ ........ 36% 2,17M 5m48s
1038336K ........ ........ ........ ........ ........ ........ 37% 9,81M 5m47s
1041408K ........ ........ ........ ........ ........ ........ 37% 3,84M 5m47s
1044480K ........ ........ ........ ........ ........ ........ 37% 4,49M 5m46s
1047552K ........ ........ ........ ........ ........ ........ 37% 6,86M 5m45s
1050624K ........ ........ ........ ........ ........ ........ 37% 3,94M 5m45s
1053696K ........ ........ ........ ........ ........ ........ 37% 6,42M 5m44s
1056768K ........ ........ ........ ........ ........ ........ 37% 4,92M 5m44s
1059840K ........ ........ ........ ........ ........ ........ 37% 4,48M 5m43s
1062912K ........ ........ ........ ........ ........ ........ 37% 3,86M 5m43s
1065984K ........ ........ ........ ........ ........ ........ 38% 3,65M 5m43s
1069056K ........ ........ ........ ........ ........ ........ 38% 8,61M 5m42s
1072128K ........ ........ ........ ........ ........ ........ 38% 5,65M 5m41s
1075200K ........ ........ ........ ........ ........ ........ 38% 3,29M 5m41s
1078272K ........ ........ ........ ........ ........ ........ 38% 4,86M 5m40s
1081344K ........ ........ ........ ........ ........ ........ 38% 6,84M 5m39s
1084416K ........ ........ ........ ........ ........ ........ 38% 5,68M 5m39s
1087488K ........ ........ ........ ........ ........ ........ 38% 4,51M 5m38s
1090560K ........ ........ ........ ........ ........ ........ 38% 6,13M 5m37s
1093632K ........ ........ ........ ........ ........ ........ 39% 4,07M 5m37s
1096704K ........ ........ ........ ........ ........ ........ 39% 4,70M 5m36s
1099776K ........ ........ ........ ........ ........ ........ 39% 3,76M 5m36s
1102848K ........ ........ ........ ........ ........ ........ 39% 7,77M 5m35s
1105920K ........ ........ ........ ........ ........ ........ 39% 3,73M 5m35s
1108992K ........ ........ ........ ........ ........ ........ 39% 3,15M 5m35s
1112064K ........ ........ ........ ........ ........ ........ 39% 4,64M 5m34s
1115136K ........ ........ ........ ........ ........ ........ 39% 3,30M 5m34s
1118208K ........ ........ ........ ........ ........ ........ 39% 13,4M 5m33s
1121280K ........ ........ ........ ........ ........ ........ 40% 5,67M 5m32s
1124352K ........ ........ ........ ........ ........ ........ 40% 4,01M 5m32s
1127424K ........ ........ ........ ........ ........ ........ 40% 3,76M 5m31s
