--2021-04-24 20:04:53--  https://releases.ubuntu.com/20.04.2.0/ubuntu-20.04.2.0-desktop-amd64.iso
Resolving releases.ubuntu.com (releases.ubuntu.com)... 91.189.88.247, 91.189.88.248, 91.189.91.123, ...
Connecting to releases.ubuntu.com (releases.ubuntu.com)|91.189.88.247|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 2877227008 (2,7G) [application/x-iso9660-image]
Saving to: ‘/dev/null’

718848K ........ ........ ........ ........ ........ ........ 25% 3,08M 7m42s
721920K ........ ........ ........ ........ ........ ........ 25% 6,99M 7m41s
724992K ........ ........ ........ ........ ........ ........ 25% 5,66M 7m40s
728064K ........ ........ ........ ........ ........ ........ 26% 4,15M 7m39s
731136K ........ ........ ........ ........ ........ ........ 26% 4,12M 7m39s
734208K ........ ........ ........ ........ ........ ........ 26% 2,99M 7m39s
737280K ........ ........ ........ ........ ........ ........ 26% 10,5M 7m37s
740352K ........ ........ ........ ........ ........ ........ 26% 3,12M 7m37s
743424K ........ ........ ........ ........ ........ ........ 26% 6,29M 7m36s
746496K ........ ........ ........ ........ ........ ........ 26% 4,17M 7m36s
749568K ........ ........ ........ ........ ........ ........ 26% 3,70M 7m35s
752640K ........ ........ ........ ........ ........ ........ 26% 6,82M 7m34s
755712K ........ ........ ........ ........ ........ ........ 27% 2,23M 7m35s
758784K ........ ........ ........ ........ ........ ........ 27% 5,53M 7m34s
761856K ........ ........ ........ ........ ........ ........ 27% 3,49M 7m34s
764928K ........ ........ ........ ........ ........ ........ 27% 3,74M 7m33s
768000K ........ ........ ........ ........ ........ ........ 27% 6,64M 7m32s
771072K ........ ........ ........ ........ ........ ........ 27% 4,73M 7m31s
774144K ........ ........ ........ ........ ........ ........ 27% 5,83M 7m30s
777216K ........ ........ ........ ........ ........ ........ 27% 3,35M 7m30s
780288K ........ ........ ........ ........ ........ ........ 27% 3,22M 7m30s
783360K ........ ........ ........ ........ ........ ........ 27% 3,12M 7m30s
786432K ........ ........ ........ ........ ........ ........ 28% 6,78M 7m29s
789504K ........ ........ ........ ........ ........ ........ 28% 4,01M 7m28s
792576K ........ ........ ........ ........ ........ ........ 28% 3,72M 7m28s
795648K ........ ........ ........ ........ ........ ........ 28% 7,23M 7m26s
798720K ........ ........ ........ ........ ........ ........ 28% 4,22M 7m26s
801792K ........ ........ ........ ........ ........ ........ 28% 3,58M 7m26s
804864K ........ ........ ........ ........ ........ ........ 28% 3,01M 7m26s
807936K ........ ........ ........ ........ ........ ........ 28% 9,77M 7m24s
811008K ........ ........ ........ ........ ........ ........ 28% 5,34M 7m23s
814080K ........ ........ ........ ........ ........ ........ 29% 2,65M 7m24s
817152K ........ ........ ........ ........ ........ ........ 29% 7,57M 7m22s
820224K ........ ........ ........ ........ ........ ........ 29% 3,58M 7m22s
823296K ........ ........ ........ ........ ........ ........ 29% 10,7M 7m20s
826368K ........ ........ ........ ........ ........ ........ 29% 3,33M 7m20s
829440K ........ ........ ........ ........ ........ ........ 29% 6,11M 7m19s
832512K ........ ........ ........ ........ ........ ........ 29% 4,06M 7m18s
835584K ........ ........ ........ ........ ........ ........ 29% 3,05M 7m18s
838656K ........ ........ ........ ........ ........ ........ 29% 8,08M 7m17s
841728K ........ ........ ........ ........ ........ ........ 30% 4,56M 7m16s
844800K ........ ........ ........ ........ ........ ........ 30% 4,06M 7m16s
847872K ........ ........ ........ ........ ........ ........ 30% 5,23M 7m15s
850944K ........ ........ ........ ........ ........ ........ 30% 3,95M 7m14s
854016K ........ ........ ........ ........ ........ ........ 30% 4,14M 7m14s
857088K ........ ........ ........ ........ ........ ........ 30% 7,28M 7m12s
860160K ........ ........ ........ ........ ........ ........ 30% 3,86M 7m12s
863232K ........ ........ ........ ........ ........ ........ 30% 4,17M 7m11s
866304K ........ ........ ........ ........ ........ ........ 30% 9,79M 7m10s
869376K ........ ........ ........ ........ ........ ........ 31% 3,05M 7m10s
872448K ........ ........ ........ ........ ........ ........ 31% 3,70M 7m9s
875520K ........ ........ ........ ........ ........ ........ 31% 8,09M 7m8s
878592K ........ ........ ........ ........ ........ ........ 31% 3,88M 7m7s
881664K ........ ........ ........ ........ ........ ........ 31% 7,34M 7m6s
884736K ........ ........ ........ ........ ........ ........ 31% 3,76M 7m6s
887808K ........ ........ ........ ........ ........ ........ 31% 3,84M 7m5s
